primaryTitle,tconst,directors,writers
Nayak: The Hero,tt0060742,nm0006249,nm0006249
Persona,tt0060827,nm0000005,nm0000005
Roundabout,tt0060912,nm0075444,nm0075444
"War and Peace, Part II: Natasha Rostova",tt0061162,nm0094083,"nm0866243,nm0094083,nm0813537"
Who's Afraid of Virginia Woolf?,tt0061184,nm0001566,"nm0499626,nm0016361"
Cool Hand Luke,tt0061512,nm0742341,"nm0668914,nm0682757,nm0237543"
The Graduate,tt0061722,nm0001566,"nm0932229,nm0377750,nm0916047"
Samurai Rebellion,tt0061847,nm0462030,"nm0368074,nm0847668"
When I Am Dead and Gone,tt0061855,nm0667870,"nm0468999,nm0586235"
"Mona, l'étoile sans nom",tt0061987,nm0173213,"nm0082392,nm0173213,nm0592463,nm0780962"
"Oh, Beautiful Istanbul",tt0062060,nm0947998,"nm0765763,nm0960106"
Le Samouraï,tt0062229,nm0578483,"nm0572819,nm0578483,nm0670958"
Schwanensee,tt0062236,nm0105235,"nm1265225,nm1265839"
"War and Peace, Part III: The Year 1812",tt0062455,nm0094083,"nm0866243,nm0094083,nm0813537"
"War and Peace, Part IV: Pierre Bezukhov",tt0062456,nm0094083,"nm0866243,nm0094083,nm0813537"
2001: A Space Odyssey,tt0062622,nm0000040,"nm0000040,nm0002009"
The Diamond Arm,tt0062759,nm0301145,"nm0806099,nm0467548,nm0301145"
The Adventures of Goopy and Bagha,tt0063023,nm0006249,"nm0006249,nm0713082"
At War as at War,tt0063333,nm0871750,"nm0475832,nm0871750"
Padosan,tt0063404,nm0841918,nm0471424
Planet of the Apes,tt0063442,nm0769874,"nm0933858,nm0785245,nm0099541,nm0445934"
Rosemary's Baby,tt0063522,nm0000591,"nm0505615,nm0000591"
Shame,tt0063611,nm0000005,nm0000005
The Cremator,tt0063633,nm0381228,"nm0297960,nm0381228"
War and Peace,tt0063794,nm0094083,"nm0094083,nm0813537,nm0866243"
The Golden Calf,tt0063845,nm0796073,"nm0407633,nm0678205,nm0796073"
The Land,tt0064038,nm0149631,"nm1548504,nm0297148"
Army of Shadows,tt0064040,nm0578483,"nm0450262,nm0578483"
Butch Cassidy and the Sundance Kid,tt0064115,nm0001351,nm0001279
Once Upon a Time in the West,tt0064116,nm0001466,"nm0006872,nm0001466,nm0000783,nm0000934"
La Celestina,tt0064142,nm0273202,"nm0273202,nm0737791"
The Toth Family,tt0064498,nm0299586,"nm0299586,nm0960115"
Spring,tt0064542,nm0472937,"nm0527489,nm0452764,nm0659753"
King Lear,tt0064553,"nm0788522,nm0468882","nm0468882,nm8077276,nm0664985,nm0000636"
Monterey Pop,tt0064689,nm0672060,\N
The Super Fight,tt0065050,nm0941570,\N
The Witness,tt0065067,nm0045880,"nm0045880,nm0880294"
Z,tt0065234,nm0002020,"nm0890825,nm0783934,nm0002020,nm0059553"
Days and Nights in the Forest,tt0065417,nm0006249,"nm0304355,nm0006249"
Twelve Chairs,tt0065670,nm0301145,"nm0407633,nm0678205,nm0049069,nm0301145"
Investigation of a Citizen Above Suspicion,tt0065889,nm0677880,"nm0677880,nm0685316"
How I Unleashed World War II,tt0065908,nm0158582,nm0158582
King: A Filmed Record... Montgomery to Memphis,tt0065944,"nm0001486,nm0000581","nm0337132,nm0484446"
Michael the Brave,tt0066078,nm0630197,nm0691489
The Adversary,tt0066237,nm0006249,"nm0304355,nm0006249"
One Song a Day Takes Mischief Away,tt0066461,nm0326500,"nm0326500,nm0538072,nm0804820"
Hope,tt0066500,"nm0351410,nm0351566","nm0351410,nm0351566"
Woodstock,tt0066580,nm0905579,\N
Amar Prem,tt0066758,nm0759662,"nm0051808,nm1031494,nm0659760"
Anand,tt0066763,nm0611531,"nm0611531,nm0347899,nm0611520,nm0244887"
Calcutta 71,tt0066880,nm0784019,"nm0051780,nm0097897,nm1387225,nm0784019"
The Sorrow and the Pity,tt0066904,nm0649096,"nm0364426,nm0649096"
A Clockwork Orange,tt0066921,nm0000040,"nm0000040,nm0121256"
Fiddler on the Roof,tt0067093,nm0422484,"nm0017833,nm0674135,nm0825524"
Interview,tt0067252,nm0784019,"nm1271397,nm0784019"
The Last Picture Show,tt0067328,nm0000953,"nm0573505,nm0000953"
The Emigrants,tt0067919,nm0873296,"nm0286873,nm0873296,nm0595002"
The Dawns Here Are Quiet,tt0068161,nm0744612,"nm0744612,nm0890564"
Bawarchi,tt0068257,nm0611531,"nm0802377,nm0611531,nm0347899"
Gentlemen of Fortune,tt0068519,nm0785877,"nm0199381,nm0865719"
The Godfather,tt0068646,nm0000338,"nm0701374,nm0000338"
Koziyat rog,tt0068814,nm0027975,nm0354416
Tghamardik,tt0068982,nm0449084,"nm0156154,nm0449084"
The New Land,tt0069035,nm0873296,"nm0595002,nm0286873,nm0873296"
