primaryTitle,startYear,averageRating,directors,genres,numVotes,originalTitle,runtimeMinutes,tconst,writers
Collective,2019,8.1,nm1681049,"Crime,Documentary",12459,Colectiv,109,tt10706602,"nm1681049,nm10867899"
Eftihia,2019,8.1,nm0291808,"Biography,Drama,Music",4424,Eftyhia,123,tt10710246,"nm0067126,nm0541954"
The Rumba Kings,2021,8.4,nm1354500,"Documentary,Music",207,The Rumba Kings,94,tt10727702,\N
Full Force,2019,8.2,nm7954541,"Biography,Comedy,Documentary",778,Full Force,52,tt10730850,nm7954541
Time and motion,2019,9.5,nm5954636,Documentary,141,Time and motion,84,tt10738796,nm5954636
Udumba,2019,8.8,nm12576343,"Action,Romance",159,Udumba,132,tt10749962,nm10887834
Mudda 370 J&K,2019,8.0,nm2207254,"Action,Drama",1064,Mudda 370 J&K,132,tt10751548,"nm1934305,nm11149308,nm2207254"
Metallica & San Francisco Symphony - S&M2,2019,8.6,nm0410864,Music,1484,Metallica & San Francisco Symphony - S&M2,150,tt10765852,\N
Gintama: The Final,2021,8.5,nm2002092,"Action,Animation,Comedy",2477,Gintama: The Final,104,tt10766468,nm2985912
Fatteshikast,2019,8.5,nm9829530,"Action,Drama,History",1500,Fatteshikast,153,tt10767976,nm9829530
The Lost Pyramid,2019,8.2,"nm10254392,nm10254393","Adventure,Documentary",144,The Lost Pyramid,53,tt10788798,"nm10254392,nm10906303,nm10906301,nm10906302"
Scenic Rhapsody,2017,8.4,nm10909310,Comedy,170,Scenic Rhapsody,152,tt10799014,nm10909310
The Kashmir Files,2022,8.7,nm1892252,Drama,561539,The Kashmir Files,170,tt10811166,"nm1892252,nm7374541"
Gaza Fights for Freedom,2019,8.7,nm5449911,Documentary,629,Gaza Fights for Freedom,84,tt10825504,\N
A Truthful Mother,2019,8.7,nm10926602,Animation,117,Punyakoti,85,tt10834006,nm10926602
Jeene Ki Umeed Tumse Hi,2021,8.7,"nm10897271,nm12369855",Drama,432,Jeene Ki Umeed Tumse Hi,121,tt10851100,"nm12369855,nm10897271,nm12369909"
Rising Phoenix,2020,8.1,"nm0094524,nm0262167","Documentary,Sport",1741,Rising Phoenix,105,tt10851618,\N
Fan,2019,8.2,nm10938984,Drama,1120,Fan,145,tt10867504,\N
Spider-Man: No Way Home,2021,8.2,nm1218281,"Action,Adventure,Fantasy",758112,Spider-Man: No Way Home,148,tt10872600,"nm0571344,nm1273099,nm0498278,nm0228492"
"Everton, Howard's Way",2019,8.2,nm3502073,"Documentary,Sport",235,"Everton, Howard's Way",105,tt10890570,\N
Filthy Frank Final Full Lore Movie,2018,9.7,nm6915712,Comedy,260,Filthy Frank Final Full Lore Movie,124,tt10895784,nm6915712
Kanchanjangha,2019,8.1,"nm0958276,nm11156707",Action,159,Kanchanjangha,100,tt10910564,nm0958276
Love Mocktail,2020,8.2,nm9135703,"Drama,Romance",4119,Love Mocktail,153,tt10919132,nm9135703
Malik,2021,8.0,nm3525879,"Action,Biography,Drama",13108,Malik,162,tt10919240,nm3525879
Rickshawala,2021,8.7,nm8337396,Drama,917,Rickshawala,50,tt10927784,"nm10968801,nm8337396,nm10968800"
Hawa,2022,8.0,nm10969193,"Drama,Mystery",3415,Hawa,131,tt10928202,"nm10969193,nm9153136,nm11231008"
I'm Not Surprised,2019,9.1,nm10973294,Documentary,655,I'm Not Surprised,63,tt10934482,nm10973294
Kira & El Gin,2022,8.1,nm1441566,"Action,Drama,History",2352,Kira & El Gin,175,tt10935956,"nm6211716,nm14060633"
Sigur Rós: Heima,2007,8.5,nm0213450,"Documentary,Music",8239,Sigur Rós: Heima,97,tt1094594,\N
Death in the Land of Encantos,2007,8.0,nm0225010,Drama,236,Kagadanan sa banwaan ning mga engkanto,540,tt1094643,nm0225010
Ranganayaki,2019,8.4,nm5796513,"Crime,Drama",144,Ranganayaki,\N,tt10961232,\N
Mrugtrushna,2021,9.7,nm2390065,"Drama,Fantasy",417,Mrugtrushna,107,tt10981076,"nm10997870,nm9153036,nm5057433,nm6080669,nm2390065"
Yaren,2019,8.5,nm7197528,Documentary,139,Yaren,49,tt10985972,nm7197528
Gala Gecesi,2019,8.7,"nm11012645,nm11012644","Documentary,Sport",142,Gala Gecesi,45,tt11010206,\N
Data Science Pioneers: Conquering the Next Frontier,2019,8.0,nm11017688,Documentary,1631,Data Science Pioneers: Conquering the Next Frontier,60,tt11023888,\N
Ye Mard Bechara,2021,8.6,nm10372788,Comedy,1080,Ye Mard Bechara,134,tt11026788,nm10372788
Demon Slayer the Movie: Mugen Train,2020,8.2,nm1417038,"Action,Adventure,Animation",59325,Kimetsu no Yaiba: Mugen Ressha-Hen,117,tt11032374,nm10281577
Saray,1997,8.1,nm0759620,"Drama,Romance",115,Saray,\N,tt1104120,"nm2312564,nm0759620"
Gantumoote,2019,8.1,nm8593411,"Drama,Romance",878,Gantumoote,115,tt11042658,nm8593411
One for the Fire: The Legacy of 'Night of the Living Dead',2008,8.0,"nm2221236,nm1726385",Documentary,115,One for the Fire: The Legacy of 'Night of the Living Dead',88,tt1104837,"nm1726385,nm2221236,nm2535570"
Electric Burma,2012,9.9,nm1803279,Documentary,186,Electric Burma,54,tt11076052,\N
Used,2019,8.4,nm9288222,"Drama,Thriller",407,Used,57,tt11108348,nm9288222
Racing Through Life: Toulouse-Lautrec,2019,8.2,nm1071389,"Biography,Documentary,History",308,"Toulouse-Lautrec, l'insaisissable",53,tt11110544,nm1071389
Abi be range aseman,2019,9.2,nm11052428,"Documentary,Sport",127,Abi be range aseman,90,tt11111166,nm1471595
"The Great 14th: Tenzin Gyatso, the 14th Dalai Lama in His Own Words",\N,9.3,nm3690990,Documentary,151,"The Great 14th: Tenzin Gyatso, the 14th Dalai Lama in His Own Words",82,tt11125820,\N
Boro Chele,2017,8.0,nm6160574,Drama,512,Boro Chele,\N,tt11127172,"nm6160574,nm14210237"
George Harrison: Living in the Material World,2011,8.1,nm0000217,"Biography,Documentary,Music",11899,George Harrison: Living in the Material World,208,tt1113829,\N
Vickida No Varghodo,2022,8.2,"nm9120111,nm9226209","Comedy,Drama",3530,Vickida No Varghodo,156,tt11138912,"nm9120111,nm9226209"
Oh My Kadavule,2020,8.1,nm11065997,"Comedy,Fantasy,Romance",4389,Oh My Kadavule,151,tt11143108,nm11065997
Panghrun,2019,8.3,nm0542498,"Drama,Musical",123,Panghrun,131,tt11146760,nm0542498
Modi Ji Ki Beti,2022,8.1,nm9901833,"Comedy,Drama",4126,Modi Ji Ki Beti,104,tt11157934,"nm12026270,nm5423109,nm9901833"
Sufna,2020,8.0,nm6054966,Romance,2075,Sufna,144,tt11173106,nm6054966
Primal: Tales of Savagery,2019,8.4,nm0850733,"Action,Adventure,Animation",2079,Primal: Tales of Savagery,85,tt11191124,"nm1635535,nm1584126,nm0788130,nm0850733"
Les Misérables: The Staged Concert,2019,8.6,"nm0606835,nm5488807,nm11368300","Drama,History,Musical",558,Les Misérables: The Staged Concert,145,tt11229886,"nm0098842,nm0774744"
Dia,2020,8.0,nm11108345,"Drama,Romance",6100,Dia,137,tt11235142,nm11108345
Viva the Underdogs,2020,8.1,nm9101050,Documentary,286,Viva the Underdogs,73,tt11242532,"nm2530692,nm9101050,nm6942642,nm5885618"
Opulence,2019,9.1,nm9268416,\N,106,Opulence,\N,tt11256052,nm9268416
Fandango at the Wall,2020,8.6,nm0362771,"Documentary,Music",105,Fandango at the Wall,92,tt11278140,"nm0362771,nm8903549"
Love Exposure,2008,8.0,nm0814469,"Action,Comedy,Drama",14437,Ai no mukidashi,237,tt1128075,nm0814469
Maarjaara Oru Kalluvacha Nuna,2020,8.7,nm11130491,Drama,525,Maarjaara Oru Kalluvacha Nuna,142,tt11280912,nm11130491
The Way I See It,2020,8.3,nm2929021,Documentary,1832,The Way I See It,100,tt11290556,\N
The Beaches of Agnès,2008,8.0,nm0889513,"Biography,Documentary",4272,Les plages d'Agnès,112,tt1129435,"nm0889513,nm0745632"
Lokkhi Chele (An Angel's Kiss),2022,8.4,nm1907554,Drama,173,Lokkhi Chele (An Angel's Kiss),120,tt11301940,nm1907554
