primaryTitle,tconst,birthYear,deathYear,primaryName,primaryProfession
Once Upon a Time in the West,tt0064116,\N,\N,Antonella Pompei,costume_designer
La Celestina,tt0064142,\N,\N,Antonio Espinosa,art_department
The Toth Family,tt0064498,\N,\N,Dalma Szemere,actress
Spring,tt0064542,\N,\N,Boris Kustov,camera_department
King Lear,tt0064553,\N,\N,Alexander Ney,set_decorator
Monterey Pop,tt0064689,\N,\N,Frank Cook,soundtrack
The Super Fight,tt0065050,\N,\N,David Woroner,production_manager
The Witness,tt0065067,1930,\N,Miklós Molnár,actor
Z,tt0065234,\N,\N,Alexandre Popovic,"sound_department,miscellaneous"
Days and Nights in the Forest,tt0065417,\N,\N,J.P. Sen,music_department
Twelve Chairs,tt0065670,\N,\N,N. Solovtsov,camera_department
Investigation of a Citizen Above Suspicion,tt0065889,1927,1992,Guido Buzzelli,actor
How I Unleashed World War II,tt0065908,\N,\N,Janusz Elke,make_up_department
King: A Filmed Record... Montgomery to Memphis,tt0065944,\N,\N,Joan Daves,miscellaneous
Michael the Brave,tt0066078,\N,\N,Andrei Otetea,miscellaneous
The Adversary,tt0066237,\N,\N,Amar Bardhan,actor
One Song a Day Takes Mischief Away,tt0066461,\N,\N,Karlo Sipek,actor
Hope,tt0066500,\N,\N,Erdinç Çol,assistant_director
Woodstock,tt0066580,\N,\N,Al Zayat,miscellaneous
Amar Prem,tt0066758,\N,\N,Md Rejaul Karim,music_department
Calcutta 71,tt0066880,\N,\N,Probodh Sanyal,writer
The Sorrow and the Pity,tt0066904,\N,\N,Alexis Grave,
A Clockwork Orange,tt0066921,\N,\N,Cornelius Makkink,art_department
Fiddler on the Roof,tt0067093,\N,\N,A. Haverstock,actor
The Last Picture Show,tt0067328,\N,\N,Bobby McGriff,actor
The Emigrants,tt0067919,\N,\N,Annika Nyhammar,actress
The Dawns Here Are Quiet,tt0068161,\N,\N,Andrey Gribushin,actor
Gentlemen of Fortune,tt0068519,\N,\N,I. Goloborodko,miscellaneous
The Godfather,tt0068646,\N,\N,Charles Lazzarro,transportation_department
Koziyat rog,tt0068814,1946,2002,Mariya Neykova,composer
Tghamardik,tt0068982,\N,\N,G. Voskanyan,actor
The New Land,tt0069035,\N,\N,Ed Carpenter,actor
Pink Floyd: Live at Pompeii,tt0069090,\N,\N,Alex Darbyshire,producer
Sleuth,tt0069281,\N,\N,Alec Cawthorne,actor
Solaris,tt0069293,\N,\N,E. Paramanov,camera_department
Walter Defends Sarajevo,tt0069452,\N,\N,Dusko Poznic,special_effects
Veronica,tt0069458,\N,\N,Andrew Robert Taylor,actor
Vuk samotnjak,tt0069478,\N,\N,Smiljan Cicic,actor
Distant Thunder,tt0069737,\N,\N,Bishnu Sen,actor
Les dernières fiançailles,tt0069963,\N,\N,Claire Graton,miscellaneous
The Exorcist,tt0070047,\N,\N,Aldo Cipullo,costume_department
Juvenile Court,tt0070258,\N,\N,James Medalia,miscellaneous
Ladies and Gentlemen: The Rolling Stones,tt0070283,\N,\N,Bob Freeze,producer
Nirmalyam,tt0070449,\N,\N,A.V. Bhaskaran Nair,actor
Paper Moon,tt0070510,\N,\N,Bob Young,actor
Papillon,tt0070511,\N,\N,Lucien Lamontagne,miscellaneous
The Sting,tt0070735,\N,\N,Billy Joe Andrus,miscellaneous
Only Old Men Are Going to Battle,tt0070861,\N,\N,A. Kovalsky,actor
Actorul si salbaticii,tt0071101,\N,\N,Carmen Berbecaru,actress
Beautiful People,tt0071143,\N,\N,Abie Bothma,miscellaneous
Chinatown,tt0071315,\N,\N,Gabe Resh,art_department
Dersu Uzala,tt0071411,\N,\N,A. Erdniev,actor
The Godfather: Part II,tt0071562,\N,\N,Alan Lee,actor
Hearts and Minds,tt0071604,\N,\N,Brian Holden,
Monty Python and the Holy Grail,tt0071853,\N,\N,Alison Walker,actress
Orderers,tt0071949,\N,\N,Gui Caron,producer
Sonar Kella,tt0072190,\N,\N,Chandrama Singh,actress
Stephen the Great - Vaslui 1475,tt0072205,\N,\N,Bectemir Balazid,actor
A Woman Under the Influence,tt0072417,\N,\N,Bo Taylor,camera_department
Young Frankenstein,tt0072431,\N,\N,Carolyn Ewart,costume_department
Mirror,tt0072443,\N,\N,Alexey Nikolaev,camera_department
Amici miei,tt0072637,1916,1983,Andrea Rizzoli,producer
Barry Lyndon,tt0072684,\N,\N,Francis Wilson,costume_department
Chhoti Si Baat,tt0072777,\N,\N,Sudarshan Sahni,actor
Deewaar,tt0072860,\N,\N,U.K. Shah,miscellaneous
Dog Day Afternoon,tt0072890,\N,\N,Fabrizio DiGiacomo,actor
The Pinchcliffe Grand Prix,tt0073000,\N,\N,Sissel Johansen,miscellaneous
Garm Hava,tt0073034,\N,\N,Abu Siwani,"actor,producer"
Halfon Hill Doesn't Answer,tt0073052,\N,\N,Asher Hershkovitz,actor
Jaws,tt0073195,\N,\N,Alston Goff,actor
One Flew Over the Cuckoo's Nest,tt0073486,\N,\N,Constance Field,editorial_department
Opadly liscie z drzew,tt0073489,\N,\N,Franciszek Sopyla,camera_department
Sholay,tt0073707,\N,\N,D. Jyothi,actress
The Lion Who Thought He Was People,tt0074315,\N,\N,Christian,
Harlan County U.S.A.,tt0074605,\N,\N,Alex Lukman,camera_department
J.A. Martin photographe,tt0074702,\N,\N,Anthony Kiberis,miscellaneous
The Middleman,tt0074710,\N,\N,Ajit Mukherjee,actor
The Memory of Justice,tt0074891,\N,\N,Aimee Jackson,sound_department
The Message,tt0074896,\N,\N,A.B. Jawdat El-Sahhar,writer
The Punishment,tt0075024,\N,\N,Dan Schiopu,actor
The Written Off Return,tt0075094,\N,\N,Zoran Djordjevic,writer
The Message,tt0075143,\N,\N,Ali Achmed Taram,actor
Rocky,tt0075148,1972,1981,Butkus Stallone,actor
Taxi Driver,tt0075314,\N,\N,Garth Avery,actress
The Ascent,tt0075404,\N,\N,V. Sumtsov,miscellaneous
A Whale of a Tale,tt0075421,\N,\N,Chris Christenson,producer
Annie Hall,tt0075686,\N,\N,David Wier,actor
We All Loved Each Other So Much,tt0075793,\N,\N,Alfonso Crudele,actor
The Wishing Tree,tt0075963,\N,\N,A. Dolenjishvili,actor
A Special Day,tt0076085,\N,\N,Antonio Garibaldi,actor
Who's Singin' Over There?,tt0076276,\N,\N,Andrija Radic,transportation_department
Mimino,tt0076391,\N,\N,Rusiko Morcheladze,actress
Office Romance,tt0076727,\N,\N,D. Korkhov,miscellaneous
Special Education,tt0076744,\N,\N,Hasim Ugljanin,actor
Star Wars: Episode IV - A New Hope,tt0076759,\N,\N,Aaron L. Lucas,art_department
Belyy Bim Chernoe ukho,tt0077222,\N,\N,A. Meydman,miscellaneous
The Deer Hunter,tt0077416,\N,\N,Barry Butler,miscellaneous
Autumn Sonata,tt0077711,\N,\N,Åse Seim,miscellaneous
The Last Waltz,tt0077838,\N,\N,Charlie Keagle,music_department
Ondanondu Kaladalli,tt0078030,\N,\N,G.B. Joshi,
Desiderium,tt0078299,1950,\N,Parissa,music_department
The Herd,tt0078355,\N,\N,Cemile Talan,actress
Alien,tt0078748,\N,\N,Alice Harmon,miscellaneous
Apocalypse Now,tt0078788,\N,\N,Abigail Abbuehl,miscellaneous
Baby Snakes,tt0078820,\N,\N,Angel,
Being There,tt0078841,\N,\N,Alexandria Walsh,actress
"Ion: Blestemul pamîntului, blestemul iubirii",tt0078876,\N,\N,Carmen Botezatu,costume_department
Les bons débarras,tt0078894,\N,\N,Henri,actor
The Garage,tt0079193,\N,\N,L. Kereselidze,script_department
Imeruli eskizebi,tt0079331,\N,\N,Marine Giorgadze,actress
The Kids Are Alright,tt0079400,\N,\N,Claudia Horvath,miscellaneous
Life of Brian,tt0079470,\N,\N,Christina Biziou,location_management
Moscow Does Not Believe in Tears,tt0079579,\N,\N,Aleksey Shubin,actor
National Class Category Up to 785 Ccm,tt0079606,\N,\N,Dusan Tesic,actor
"Uncle Marin, the Billionaire",tt0079615,\N,\N,Alexandru Spiridon,art_department
In for Treatment,tt0079674,\N,\N,Arie Dijkstra,actor
Rockshow,tt0079814,\N,\N,Simon Bailey,miscellaneous
Sankarabharanam,tt0079889,\N,\N,Rajagopal P.,production_manager
Siberiade,tt0079907,\N,\N,Tamara Gajdukova,make_up_department
The Touch,tt0079938,\N,\N,Arun Sachdev,actor
Stalker,tt0079944,\N,\N,Arayk Agoronyan,assistant_director
The Lovers' Wind,tt0080087,\N,\N,Claude Lamorisse,editor
AC/DC: Let There Be Rock,tt0080321,\N,\N,Klauss Blasquiz,visual_effects
The Elephant Man,tt0080678,\N,\N,Beryl Hicks,actress
Star Wars: Episode V - The Empire Strikes Back,tt0080684,\N,\N,Chris Anderson,visual_effects
The Kingdom of Diamonds,tt0080856,\N,\N,Anindya Basu,actor
The Lion of the Desert,tt0081059,\N,\N,Ahmed Hassan Hassan,make_up_department
All That Jack's,tt0081104,\N,\N,Smilja Zdravkovic,actress
Petria's Wreath,tt0081331,\N,\N,Blagoje Andjelkovic,set_decorator
Raging Bull,tt0081398,\N,\N,Andrea Orlando,actress
The Shining,tt0081505,1928,2012,Billie Gibson,actress
"Run, Waiter, Run!",tt0081730,\N,\N,A. Slajsová,actress
The Animals Film,tt0082020,\N,\N,Michael Huskisson,
The Boat,tt0082096,\N,\N,Albert Kraml,actor
They Don't Wear Black Tie,tt0082317,\N,\N,Antonio De Pieri,actor
Teddy Bear,tt0082755,\N,\N,Andrzej Kokozow,actor
Indiana Jones and the Raiders of the Lost Ark,tt0082971,\N,\N,Abdelkrim Baccar,location_management
Bill Cosby: Himself,tt0083652,\N,\N,Bill Vanderpol,miscellaneous
Blade Runner,tt0083658,\N,\N,Alan B. Rosin,miscellaneous
Fanny and Alexander,tt0083922,\N,\N,Ann Katrin Edmark,costume_department
Fitzcarraldo,tt0083946,\N,\N,Christian Mantilla,"actor,soundtrack"
Gandhi,tt0083987,\N,\N,Anthony Sagger,actor
The Marathon Family,tt0084302,\N,\N,Nebojsa Topic,actor
Death of Yazdgerd,tt0084304,\N,\N,Ahmad Soheili,production_manager
Pink Floyd: The Wall,tt0084503,\N,\N,Andy Warne,art_department
Interrogation,tt0084548,\N,\N,Barbara Jastrzebska,make_up_department
A Tight Spot,tt0084780,\N,\N,Boro Timotic,art_department
The Thing,tt0084787,\N,\N,Archie L. Gillet,make_up_department
The Road,tt0084934,\N,\N,Dr. Marine,sound_department
Adaminte Variyellu,tt0085137,\N,\N,Selma,music_department
Ardh Satya,tt0085178,\N,\N,Bhagat,actor
Barefoot Gen,tt0085218,\N,\N,Chiaki Fujimoto,animation_department
Jaane Bhi Do Yaaro,tt0085743,\N,\N,Aditya Arya,camera_department
Koyaanisqatsi,tt0085809,\N,\N,Albert Richmond,music_department
Masoom,tt0085913,\N,\N,A. Kukereja,actor
Rembetiko,tt0086182,\N,\N,Eirini Lymberopoulou,actress
Star Wars: Episode VI - Return of the Jedi,tt0086190,1909,2003,Adeal Crooms,
Sadma,tt0086230,\N,\N,H.J. Imam,actor
Sagara Sangamam,tt0086231,\N,\N,Raghawachari,sound_department
Scarface,tt0086250,\N,\N,Angela Nisi,actress
State buoni se potete,tt0086358,\N,\N,Emanuela Stucchi Privetti,actress
