writers	primaryName	primaryProfession
nm2068971	Vineeth Sreenivasan	music_artist,music_department,soundtrack
nm11174452	Vicesat	director,actor,writer
nm0000187	Madonna	music_artist,soundtrack,actress
nm4254923	Darbuka Siva	composer,actor,director
nm0661401	Michael Parfit	writer,editor,director
nm9829530	Digpal Lanjekar	writer,director,music_department
nm5954636	Sergey A.	writer,producer,cinematographer
nm11198656	Hemanth Srinivas	director,writer,producer
nm11199071	Naveen Deshaboina	director,writer
nm3476157	John Godsey	writer,producer,miscellaneous
nm4432410	Brandon Kimber	director,producer,editor
nm10421569	Saleel Kulkarni	director,actor,writer
nm0473936	Kurt Kuenne	director,composer,editor
nm4627221	Darin J. Sallam	director,casting_director,casting_department
nm2577586	Kazuya Yamada	camera_department,director,writer
nm6041683	Mari Selvaraj	director,writer,assistant_director
nm3340250	Boris Malagurski	director,editor,writer
nm9909582	Shahi Kabir	writer,director
nm11280546	Danny Capuchin	writer
nm11291284	Tharun Moorthy	director,writer,actor
nm3752091	Kenny Basumatary	actor,director,writer
nm8680464	Niyaz Mujawar	writer,director
nm11358335	A. Kadir	
nm0614819	Alison Murray	director,writer,cinematographer
nm0006498	Majid Majidi	director,writer,actor
nm2012385	Miklós Tamási	writer
nm5954636	Sergey A.	writer,producer,cinematographer
nm0284369	Ari Folman	writer,director,soundtrack
nm2518732	Kranti Kanadé	director,writer,actor
nm1962192	Upendra	actor,music_department,writer
nm0126154	David Byrne	soundtrack,composer,music_department
nm11029421	Amadeusz Kocan	director,cinematographer,editor
nm11388000	Peter Sundardas	writer,director
nm0859074	Jose Thomas	director,assistant_director,writer
nm1345470	Sheikh Niamat Ali	writer,director,producer
nm3668380	Derek DelGaudio	miscellaneous,actor,writer
nm11405210	Dusan Nestorovic	director,writer,cinematographer
nm8833077	Raj B. Shetty	actor,writer,director
nm11442870	Noah Marks	director,actor,writer
nm0098079	Mike Boss	writer,producer,actor
nm2638662	Yulene Olaizola	director,producer,editor
nm9055203	Amudhavanan P.	writer,director,cinematographer
